Data,Empregado,Tarefa,Tarefa Realizada
2024-02-09,Empregado 2,Participar de reunião,Não
2024-02-09,Empregado 3,Participar de reunião,Sim
2024-02-09,Empregado 1,Revisar documentos,Sim
2024-02-09,Empregado 2,Revisar documentos,Não
2024-02-09,Empregado 3,Revisar documentos,Sim
2024-02-10,Empregado 1,Checar e-mails,Sim
2024-02-10,Empregado 2,Checar e-mails,Sim
2024-02-10,Empregado 3,Checar e-mails,Não
2024-02-10,Empregado 1,Participar de reunião,Sim
2024-02-10,Empregado 2,Participar de reunião,Sim
2024-02-10,Empregado 3,Participar de reunião,Não
2024-02-10,Empregado 1,Revisar documentos,Sim
2024-02-10,Empregado 2,Revisar documentos,Sim
2024-02-10,Empregado 3,Revisar documentos,Não
2024-02-11,Empregado 1,Checar e-mails,Sim
2024-02-11,Empregado 2,Checar e-mails,Não
2024-02-11,Empregado 3,Checar e-mails,Sim
2024-02-11,Empregado 1,Participar de reunião,Sim
2024-02-11,Empregado 2,Participar de reunião,Não
2024-02-11,Empregado 3,Participar de reunião,Sim
2024-02-11,Empregado 1,Revisar documentos,Sim
2024-02-11,Empregado 2,Revisar documentos,Não
2024-02-11,Empregado 3,Revisar documentos,Sim
2024-02-12,Empregado 1,Checar e-mails,Sim
2024-02-12,Empregado 2,Checar e-mails,Sim
2024-02-12,Empregado 3,Checar e-mails,Não
2024-02-12,Empregado 1,Participar de reunião,Sim
2024-02-12,Empregado 2,Participar de reunião,Sim
2024-02-12,Empregado 3,Participar de reunião,Não
2024-02-12,Empregado 1,Revisar documentos,Sim
2024-02-12,Empregado 2,Revisar documentos,Sim
2024-02-12,Empregado 3,Revisar documentos,Não
2024-02-13,Empregado 1,Checar e-mails,Sim
2024-02-13,Empregado 2,Checar e-mails,Não
2024-02-13,Empregado 3,Checar e-mails,Sim
2024-02-13,Empregado 1,Participar de reunião,Sim
2024-02-13,Empregado 2,Participar de reunião,Não
2024-02-13,Empregado 3,Participar de reunião,Sim
2024-02-13,Empregado 1,Revisar documentos,Sim
2024-02-13,Empregado 2,Revisar documentos,Não
2024-02-13,Empregado 3,Revisar documentos,Sim
2024-02-14,Empregado 1,Checar e-mails,Sim
2024-02-14,Empregado 2,Checar e-mails,Sim
2024-02-14,Empregado 3,Checar e-mails,Não
2024-02-14,Empregado 1,Participar de reunião,Sim
2024-02-14,Empregado 2,Participar de reunião,Sim
2024-02-14,Empregado 3,Participar de reunião,Não
2024-02-14,Empregado 1,Revisar documentos,Sim
2024-02-14,Empregado 2,Revisar documentos,Sim
2024-02-14,Empregado 3,Revisar documentos,Não
2024-02-15,Empregado 1,Checar e-mails,Sim
2024-02-15,Empregado 2,Checar e-mails,Não
2024-02-15,Empregado 3,Checar e-mails,Sim
2024-02-15,Empregado 1,Participar de reunião,Sim
2024-02-15,Empregado 2,Participar de reunião,Não
2024-02-15,Empregado 3,Participar de reunião,Sim
2024-02-15,Empregado 1,Revisar documentos,Sim
2024-02-15,Empregado 2,Revisar documentos,Não
2024-02-15,Empregado 3,Revisar documentos,Sim
2024-02-16,Empregado 1,Checar e-mails,Sim
2024-02-16,Empregado 2,Checar e-mails,Sim
2024-02-16,Empregado 3,Checar e-mails,Não
2024-02-16,Empregado 1,Participar de reunião,Sim
2024-02-16,Empregado 2,Participar de reunião,Sim
2024-02-16,Empregado 3,Participar de reunião,Não
2024-02-16,Empregado 1,Revisar documentos,Sim
2024-02-16,Empregado 2,Revisar documentos,Sim
2024-02-16,Empregado 3,Revisar documentos,Não
2024-02-17,Empregado 1,Checar e-mails,Sim
2024-02-17,Empregado 2,Checar e-mails,Não
2024-02-17,Empregado 3,Checar e-mails,Sim
2024-02-17,Empregado 1,Participar de reunião,Sim
2024-02-17,Empregado 2,Participar de reunião,Não
2024-02-17,Empregado 3,Participar de reunião,Sim
2024-02-17,Empregado 1,Revisar documentos,Sim
2024-02-17,Empregado 2,Revisar documentos,Não
2024-02-17,Empregado 3,Revisar documentos,Sim
2024-02-18,Empregado 1,Checar e-mails,Sim
2024-02-18,Empregado 2,Checar e-mails,Sim
2024-02-18,Empregado 3,Checar e-mails,Não
2024-02-18,Empregado 1,Participar de reunião,Sim
2024-02-18,Empregado 2,Participar de reunião,Sim
2024-02-18,Empregado 3,Participar de reunião,Não
2024-02-18,Empregado 1,Revisar documentos,Sim
2024-02-18,Empregado 2,Revisar documentos,Sim
2024-02-18,Empregado 3,Revisar documentos,Não
2024-02-19,Empregado 1,Checar e-mails,Sim
2024-02-19,Empregado 2,Checar e-mails,Não
2024-02-19,Empregado 3,Checar e-mails,Sim
2024-02-19,Empregado 1,Participar de reunião,Sim
2024-02-19,Empregado 2,Participar de reunião,Não
2024-02-19,Empregado 3,Participar de reunião,Sim
2024-02-19,Empregado 1,Revisar documentos,Sim
2024-02-19,Empregado 2,Revisar documentos,Não
2024-02-19,Empregado 3,Revisar documentos,Sim
2024-02-20,Empregado 1,Checar e-mails,Sim
2024-02-20,Empregado 2,Checar e-mails,Sim
2024-02-20,Empregado 3,Checar e-mails,Não
2024-02-20,Empregado 1,Participar de reunião,Sim
2024-02-20,Empregado 2,Participar de reunião,Sim
2024-02-20,Empregado 3,Participar de reunião,Não
2024-02-20,Empregado 1,Revisar documentos,Sim
2024-02-20,Empregado 2,Revisar documentos,Sim
2024-02-20,Empregado 3,Revisar documentos,Não
2024-02-21,Empregado 1,Checar e-mails,Sim
2024-02-21,Empregado 2,Checar e-mails,Não
2024-02-21,Empregado 3,Checar e-mails,Sim
2024-02-21,Empregado 1,Participar de reunião,Sim
2024-02-21,Empregado 2,Participar de reunião,Não
2024-02-21,Empregado 3,Participar de reunião,Sim
2024-02-21,Empregado 1,Revisar documentos,Sim
2024-02-21,Empregado 2,Revisar documentos,Não
2024-02-21,Empregado 3,Revisar documentos,Sim
2024-02-22,Empregado 1,Checar e-mails,Sim
2024-02-22,Empregado 2,Checar e-mails,Sim
2024-02-22,Empregado 3,Checar e-mails,Não
2024-02-22,Empregado 1,Participar de reunião,Sim
2024-02-22,Empregado 2,Participar de reunião,Sim
2024-02-22,Empregado 3,Participar de reunião,Não
2024-02-22,Empregado 1,Revisar documentos,Sim
2024-02-22,Empregado 2,Revisar documentos,Sim
2024-02-22,Empregado 3,Revisar documentos,Não
2024-02-23,Empregado 1,Checar e-mails,Sim
2024-02-23,Empregado 2,Checar e-mails,Não
2024-02-23,Empregado 3,Checar e-mails,Sim
2024-02-23,Empregado 1,Participar de reunião,Sim
2024-02-23,Empregado 2,Participar de reunião,Não
2024-02-23,Empregado 3,Participar de reunião,Sim
2024-02-23,Empregado 1,Revisar documentos,Sim
2024-02-23,Empregado 2,Revisar documentos,Não
2024-02-23,Empregado 3,Revisar documentos,Sim
2024-02-24,Empregado 1,Checar e-mails,Sim
2024-02-24,Empregado 2,Checar e-mails,Sim
2024-02-24,Empregado 3,Checar e-mails,Não
2024-02-24,Empregado 1,Participar de reunião,Sim
2024-02-24,Empregado 2,Participar de reunião,Sim
2024-02-24,Empregado 3,Participar de reunião,Não
2024-02-24,Empregado 1,Revisar documentos,Sim
2024-02-24,Empregado 2,Revisar documentos,Sim
2024-02-24,Empregado 3,Revisar documentos,Não
2024-02-25,Empregado 1,Checar e-mails,Sim
2024-02-25,Empregado 2,Checar e-mails,Não
2024-02-25,Empregado 3,Checar e-mails,Sim
2024-02-25,Empregado 1,Participar de reunião,Sim
2024-02-25,Empregado 2,Participar de reunião,Não
2024-02-25,Empregado 3,Participar de reunião,Sim
2024-02-25,Empregado 1,Revisar documentos,Sim
2024-02-25,Empregado 2,Revisar documentos,Não
2024-02-25,Empregado 3,Revisar documentos,Sim
2024-02-26,Empregado 1,Checar e-mails,Sim
2024-02-26,Empregado 2,Checar e-mails,Sim
2024-02-26,Empregado 3,Checar e-mails,Não
2024-02-26,Empregado 1,Participar de reunião,Sim
2024-02-26,Empregado 2,Participar de reunião,Sim
2024-02-26,Empregado 3,Participar de reunião,Não
2024-02-26,Empregado 1,Revisar documentos,Sim
2024-02-26,Empregado 2,Revisar documentos,Sim
2024-02-26,Empregado 3,Revisar documentos,Não
2024-02-27,Empregado 1,Checar e-mails,Sim
2024-02-27,Empregado 2,Checar e-mails,Não
2024-02-27,Empregado 3,Checar e-mails,Sim
2024-02-27,Empregado 1,Participar de reunião,Sim
2024-02-27,Empregado 2,Participar de reunião,Não
2024-02-27,Empregado 3,Participar de reunião,Sim
2024-02-27,Empregado 1,Revisar documentos,Sim
2024-02-27,Empregado 2,Revisar documentos,Não
2024-02-27,Empregado 3,Revisar documentos,Sim
2024-02-28,Empregado 1,Checar e-mails,Sim
2024-02-28,Empregado 2,Checar e-mails,Sim
2024-02-28,Empregado 3,Checar e-mails,Não
2024-02-28,Empregado 1,Participar de reunião,Sim
2024-02-28,Empregado 2,Participar de reunião,Sim
2024-02-28,Empregado 3,Participar de reunião,Não
2024-02-28,Empregado 1,Revisar documentos,Sim
2024-02-28,Empregado 2,Revisar documentos,Sim
2024-02-28,Empregado 3,Revisar documentos,Não
2024-02-29,Empregado 1,Checar e-mails,Sim
2024-02-29,Empregado 2,Checar e-mails,Não
2024-02-29,Empregado 3,Checar e-mails,Sim
2024-02-29,Empregado 1,Participar de reunião,Sim
2024-02-29,Empregado 2,Participar de reunião,Não
2024-02-29,Empregado 3,Participar de reunião,Sim
2024-02-29,Empregado 1,Revisar documentos,Sim
2024-02-29,Empregado 2,Revisar documentos,Não
2024-02-29,Empregado 3,Revisar documentos,Sim
2024-03-01,Empregado 1,Checar e-mails,Sim
2024-03-01,Empregado 2,Checar e-mails,Não
2024-03-01,Empregado 3,Checar e-mails,Sim
2024-03-01,Empregado 1,Participar de reunião,Sim
2024-03-01,Empregado 2,Participar de reunião,Não
2024-03-01,Empregado 3,Participar de reunião,Sim
2024-03-01,Empregado 1,Revisar documentos,Sim
2024-03-01,Empregado 2,Revisar documentos,Não
2024-03-01,Empregado 3,Revisar documentos,Sim
2024-03-02,Empregado 1,Checar e-mails,Sim
2024-03-02,Empregado 2,Checar e-mails,Sim
2024-03-02,Empregado 3,Checar e-mails,Não
2024-03-02,Empregado 1,Participar de reunião,Sim
2024-03-02,Empregado 2,Participar de reunião,Sim
2024-03-02,Empregado 3,Participar de reunião,Não
2024-03-02,Empregado 1,Revisar documentos,Sim
2024-03-02,Empregado 2,Revisar documentos,Sim
2024-03-02,Empregado 3,Revisar documentos,Não
2024-03-03,Empregado 1,Checar e-mails,Sim
2024-03-03,Empregado 2,Checar e-mails,Não
2024-03-03,Empregado 3,Checar e-mails,Sim
2024-03-03,Empregado 1,Participar de reunião,Sim
2024-03-03,Empregado 2,Participar de reunião,Não
2024-03-03,Empregado 3,Participar de reunião,Sim
2024-03-03,Empregado 1,Revisar documentos,Sim
2024-03-03,Empregado 2,Revisar documentos,Não
2024-03-03,Empregado 3,Revisar documentos,Sim
2024-03-04,Empregado 1,Checar e-mails,Sim
2024-03-04,Empregado 2,Checar e-mails,Sim
2024-03-04,Empregado 3,Checar e-mails,Não
2024-03-04,Empregado 1,Participar de reunião,Sim
2024-03-04,Empregado 2,Participar de reunião,Sim
2024-03-04,Empregado 3,Participar de reunião,Não
2024-03-04,Empregado 1,Revisar documentos,Sim
2024-03-04,Empregado 2,Revisar documentos,Sim
2024-03-04,Empregado 3,Revisar documentos,Não
2024-03-05,Empregado 1,Checar e-mails,Sim
2024-03-05,Empregado 2,Checar e-mails,Não
2024-03-05,Empregado 3,Checar e-mails,Sim
2024-03-05,Empregado 1,Participar de reunião,Sim
2024-03-05,Empregado 2,Participar de reunião,Não
2024-03-05,Empregado 3,Participar de reunião,Sim
2024-03-05,Empregado 1,Revisar documentos,Sim
2024-03-05,Empregado 2,Revisar documentos,Não
2024-03-05,Empregado 3,Revisar documentos,Sim
2024-03-06,Empregado 1,Checar e-mails,Sim
2024-03-06,Empregado 2,Checar e-mails,Sim
2024-03-06,Empregado 3,Checar e-mails,Não
2024-03-06,Empregado 1,Participar de reunião,Sim
2024-03-06,Empregado 2,Participar de reunião,Sim
2024-03-06,Empregado 3,Participar de reunião,Não
2024-03-06,Empregado 1,Revisar documentos,Sim
2024-03-06,Empregado 2,Revisar documentos,Sim
2024-03-06,Empregado 3,Revisar documentos,Não
2024-03-07,Empregado 1,Checar e-mails,Sim
2024-03-07,Empregado 2,Checar e-mails,Não
2024-03-07,Empregado 3,Checar e-mails,Sim
2024-03-07,Empregado 1,Participar de reunião,Sim
2024-03-07,Empregado 2,Participar de reunião,Não
2024-03-07,Empregado 3,Participar de reunião,Sim
2024-03-07,Empregado 1,Revisar documentos,Sim
2024-03-07,Empregado 2,Revisar documentos,Não
2024-03-07,Empregado 3,Revisar documentos,Sim
2024-03-08,Empregado 1,Checar e-mails,Sim
2024-03-08,Empregado 2,Checar e-mails,Sim
2024-03-08,Empregado 3,Checar e-mails,Não
2024-03-08,Empregado 1,Participar de reunião,Sim
2024-03-08,Empregado 2,Participar de reunião,Sim
2024-03-08,Empregado 3,Participar de reunião,Não
2024-03-08,Empregado 1,Revisar documentos,Sim
2024-03-08,Empregado 2,Revisar documentos,Sim
2024-03-08,Empregado 3,Revisar documentos,Não
2024-03-09,Empregado 1,Checar e-mails,Sim
2024-03-09,Empregado 2,Checar e-mails,Não
2024-03-09,Empregado 3,Checar e-mails,Sim
2024-03-09,Empregado 1,Participar de reunião,Sim
2024-03-09,Empregado 2,Participar de reunião,Não
2024-03-09,Empregado 3,Participar de reunião,Sim
2024-03-09,Empregado 1,Revisar documentos,Sim
2024-03-09,Empregado 2,Revisar documentos,Não
2024-03-09,Empregado 3,Revisar documentos,Sim
2024-03-10,Empregado 1,Checar e-mails,Sim
2024-03-10,Empregado 2,Checar e-mails,Sim
2024-03-10,Empregado 3,Checar e-mails,Não
2024-03-10,Empregado 1,Participar de reunião,Sim
2024-03-10,Empregado 2,Participar de reunião,Sim
2024-03-10,Empregado 3,Participar de reunião,Não
2024-03-10,Empregado 1,Revisar documentos,Sim
2024-03-10,Empregado 2,Revisar documentos,Sim
2024-03-10,Empregado 3,Revisar documentos,Não
2024-03-11,Empregado 1,Checar e-mails,Sim
2024-03-11,Empregado 2,Checar e-mails,Não
2024-03-11,Empregado 3,Checar e-mails,Sim
2024-03-11,Empregado 1,Participar de reunião,Sim
2024-03-11,Empregado 2,Participar de reunião,Não
2024-03-11,Empregado 3,Participar de reunião,Sim
2024-03-11,Empregado 1,Revisar documentos,Sim
2024-03-11,Empregado 2,Revisar documentos,Não
2024-03-11,Empregado 3,Revisar documentos,Sim
2024-03-12,Empregado 1,Checar e-mails,Sim
2024-03-12,Empregado 2,Checar e-mails,Sim
2024-03-12,Empregado 3,Checar e-mails,Não
2024-03-12,Empregado 1,Participar de reunião,Sim
2024-03-12,Empregado 2,Participar de reunião,Sim
2024-03-12,Empregado 3,Participar de reunião,Não
2024-03-12,Empregado 1,Revisar documentos,Sim
2024-03-12,Empregado 2,Revisar documentos,Sim
2024-03-12,Empregado 3,Revisar documentos,Não
2024-03-13,Empregado 1,Checar e-mails,Sim
2024-03-13,Empregado 2,Checar e-mails,Não
2024-03-13,Empregado 3,Checar e-mails,Sim
2024-03-13,Empregado 1,Participar de reunião,Sim
2024-03-13,Empregado 2,Participar de reunião,Não
2024-03-13,Empregado 3,Participar de reunião,Sim
2024-03-13,Empregado 1,Revisar documentos,Sim
2024-03-13,Empregado 2,Revisar documentos,Não
2024-03-13,Empregado 3,Revisar documentos,Sim
2024-03-14,Empregado 1,Checar e-mails,Sim
2024-03-14,Empregado 2,Checar e-mails,Sim
2024-03-14,Empregado 3,Checar e-mails,Não
2024-03-14,Empregado 1,Participar de reunião,Sim
2024-03-14,Empregado 2,Participar de reunião,Sim
2024-03-14,Empregado 3,Participar de reunião,Não
2024-03-14,Empregado 1,Revisar documentos,Sim
2024-03-14,Empregado 2,Revisar documentos,Sim
2024-03-14,Empregado 3,Revisar documentos,Não
2024-03-15,Empregado 1,Checar e-mails,Sim
2024-03-15,Empregado 2,Checar e-mails,Não
2024-03-15,Empregado 3,Checar e-mails,Sim
2024-03-15,Empregado 1,Participar de reunião,Sim
2024-03-15,Empregado 2,Participar de reunião,Não
2024-03-15,Empregado 3,Participar de reunião,Sim
2024-03-15,Empregado 1,Revisar documentos,Sim
2024-03-15,Empregado 2,Revisar documentos,Não
2024-03-15,Empregado 3,Revisar documentos,Sim
2024-03-16,Empregado 1,Checar e-mails,Sim
2024-03-16,Empregado 2,Checar e-mails,Sim
2024-03-16,Empregado 3,Checar e-mails,Não
2024-03-16,Empregado 1,Participar de reunião,Sim
2024-03-16,Empregado 2,Participar de reunião,Sim
2024-03-16,Empregado 3,Participar de reunião,Não
2024-03-16,Empregado 1,Revisar documentos,Sim
2024-03-16,Empregado 2,Revisar documentos,Sim
2024-03-16,Empregado 3,Revisar documentos,Não
2024-03-17,Empregado 1,Checar e-mails,Sim
2024-03-17,Empregado 2,Checar e-mails,Não
2024-03-17,Empregado 3,Checar e-mails,Sim
2024-03-17,Empregado 1,Participar de reunião,Sim
2024-03-17,Empregado 2,Participar de reunião,Não
2024-03-17,Empregado 3,Participar de reunião,Sim
2024-03-17,Empregado 1,Revisar documentos,Sim
2024-03-17,Empregado 2,Revisar documentos,Não
2024-03-17,Empregado 3,Revisar documentos,Sim
2024-03-18,Empregado 1,Checar e-mails,Sim
2024-03-18,Empregado 2,Checar e-mails,Sim
2024-03-18,Empregado 3,Checar e-mails,Não
2024-03-18,Empregado 1,Participar de reunião,Sim
2024-03-18,Empregado 2,Participar de reunião,Sim
2024-03-18,Empregado 3,Participar de reunião,Não
2024-03-18,Empregado 1,Revisar documentos,Sim
2024-03-18,Empregado 2,Revisar documentos,Sim
2024-03-18,Empregado 3,Revisar documentos,Não
2024-03-19,Empregado 1,Checar e-mails,Sim
2024-03-19,Empregado 2,Checar e-mails,Não
2024-03-19,Empregado 3,Checar e-mails,Sim
2024-03-19,Empregado 1,Participar de reunião,Sim
2024-03-19,Empregado 2,Participar de reunião,Não
2024-03-19,Empregado 3,Participar de reunião,Sim
2024-03-19,Empregado 1,Revisar documentos,Sim
2024-03-19,Empregado 2,Revisar documentos,Não
2024-03-19,Empregado 3,Revisar documentos,Sim
